	observed_features
10895.E9.19.Ech.aspe.1.20150820.S	318
10895.E9.17.Lep.phry.1.20150818.S	100
10895.E4.10.Sty.pist.1.20150309.S	21
10895.E3.15.Dip.heli.3.20150123.S	451
10895.E4.Rob.Unk.spec.1.20150325.S	88
10895.E5.21.Sco.sp.4.20150306.S	160
10895.E4.7.Pav.vari.1.20150311.S	264
10895.E4.2.Tub.cocc.2.20150312.S	229
10895.E9.11.Fun.sp.1.20150823.S	224
10895.E9.3.Por.mont.1.20150819.S	156
10895.E4.15.Dip.heli.2.20150325.S	380
10895.E3.5.Gal.astr.2.20150124.S	317
10895.E9.7.Pav.vari.1.20150823.S	203
10895.E9.Out.Lob.sp.1.20150823.S	57
10895.E4.3.Por.lute.1.20150309.S	213
10895.E9.10.Poc.dami.1.20150824.S	174
10895.E3.17.Ech.mamm.1.20150129.S	13
10895.E1.11.Psa.digi.1.20140807.S	339
10895.E4.17.Gon.sp.1.20150311.S	167
10895.E4.2.Den.sp.1.20150325.S	318
10895.E1.19.Lob.sp.1.20140730.S	395
10895.E1.5.Gal.astr.1.20140905.S	416
10895.E1.15.Dip.heli.1.20140809.S	596
10895.E9.7.Pav.sp.1.20150817.S	225
10895.E4.11.Cos.moni.1.20150310.S	223
10895.E4.11.Cte.echi.1.20150325.S	33
10895.E9.Out.Mil.sp.1.20150821.S	211
10895.E4.20.Aca.echi.1.20150309.S	247
10895.E5.21.Sco.sp.2.20150306.S	168
10895.E4.19.Oxy.lace.1.20150312.S	251
10895.E4.11.Fun.sp.1.20150310.S	30
10895.E3.15.Dip.heli.2.20150105.S	259
10895.E4.14.Ple.sinu.2.20150312.S	113
10895.E4.2.Tur.stel.1.20150312.S	609
10895.E4.19.Lob.hemp.1.20150310.S	372
10895.E9.2.Tub.sp.1.20150824.S	156
10895.E3.15.Dip.heli.1.20150123.S	335
